iter	backtest_id	status	annual_return	max_drawdown	sharpe	score	decision	mutation
0000_baseline	7973240	normal_exit	0.3190	0.1204	1.4590	0.399223	keep	baseline - no modification
0001		7973240	normal_exit	0.3190	0.1204	1.4590	0.399223	rollback	increase hold_num from 10 to 12
0002		7973240	normal_exit	0.3190	0.1204	1.4590	0.399223	rollback	breadth_extreme 0.15 -> 0.18
0003		7973240	normal_exit	0.3190	0.1204	1.4590	0.399223	rollback	breadth_bottom 0.25 -> 0.30
0004		7973240	normal_exit	0.3190	0.1204	1.4590	0.399223	rollback	breadth lookback 20d -> 15d
0005	fe346b1	7973266	normal_exit	0.3309	0.1220	1.5515	0.422611	keep	breadth lookback 20d -> 15d
0006	3bed350	7973269	normal_exit	0.4795	0.1361	1.8257	0.540082	keep	breadth_extreme 0.15 -> 0.12
0007	1e3b9c2	7973270	normal_exit	0.4531	0.1198	1.9273	0.553421	keep	breadth_bottom 0.25 -> 0.20
0008	7cd94ad	7973275	normal_exit	0.5531	0.1356	2.0350	0.615237	keep	breadth_extreme 0.12 -> 0.10
0009		7973278	normal_exit	0.4238	0.1449	1.7609	0.499397	rollback	breadth_bottom 0.20 -> 0.18
0010		7973280	normal_exit	0.3695	0.1220	1.6187	0.453408	rollback	breadth lookback 15d -> 12d
0011		7973285	normal_exit	0.5531	0.1356	2.0350	0.615237	rollback	breadth_extreme 0.10 -> 0.08
0012		7973288	normal_exit	0.4795	0.1361	1.8257	0.540082	rollback	breadth_extreme 0.10 -> 0.07
0013		7973291	normal_exit	0.3626	0.1322	1.5080	0.425125	rollback	hold_num 10 -> 8
0014		7973292	normal_exit	0.4238	0.1449	1.7609	0.499397	rollback	breadth_bottom 0.20 -> 0.22
0015		7973294	normal_exit	0.5531	0.1356	2.0350	0.615237	rollback	lookback 15d -> 18d
0016		7973296	normal_exit	0.3593	0.1220	1.6142	0.447943	rollback	breadth_bottom 0.20 -> 0.18
0017		7973298	normal_exit	0.4476	0.1198	1.9100	0.547485	rollback	breadth_extreme 0.10 -> 0.09
0018	4212cdd	7973300	normal_exit	0.5926	0.1198	2.2075	0.672215	keep	lookback 15d -> 10d
0019		7973303	normal_exit	0.3635	0.1220	1.6304	0.453055	rollback	lookback 10d -> 8d
0020		7973305	normal_exit	0.5204	0.1251	2.2403	0.644719	rollback	hold_num 10 -> 11
0021		7973307	normal_exit	0.3847	0.1220	1.7223	0.480995	rollback	lookback 10d -> 9d
0022		7973310	normal_exit	0.0000	0.0000	0.0000	0.000000	rollback	select highest price stocks instead of lowest (momentum)
0023	7e4919c1	7973321	normal_exit	0.4913	0.1374	2.1402	1.967099	keep	月度调仓改为周度调仓
0024		7973326	normal_exit	0.4887	0.1388	2.1303	1.936240	rollback	添加10日涨幅>30%的动量过滤，避免追高
0025	5b8c30df	7973329	normal_exit	0.4913	0.1214	2.1454	2.225411	keep	breadth计算从50只扩大到100只股票
0026		7973332	normal_exit	0.4646	0.1214	2.0791	2.105531	rollback	breadth_extreme从0.10调宽到0.11，更早退出极端市场
0027		7973336	normal_exit	0.3784	0.0954	1.9542	2.181046	rollback	rebalancing从每周改为每3天
0028		7973337	normal_exit	0.4362	0.1139	2.1347	2.107200	rollback	breadth_bottom从0.20调宽到0.22，延迟恢复入市
0029		7973339	normal_exit	0.4381	0.1087	2.0849	2.217089	rollback	breadth计算改用EMA(5日)替代SMA，更敏感
0030		7973342	normal_exit	0.3961	0.1474	1.7673	1.477892	rollback	持仓从10只减少到9只，提高集中度
0031		7973345	normal_exit	0.4507	0.1260	2.1719	1.966884	rollback	breadth历史窗口从10天缩短到7天
0032		7973347	normal_exit	0.4084	0.1262	2.0065	1.780324	rollback	breadth计算扩大到200只股票
0033		7973349	normal_exit	-0.0383	0.1995	-0.1238	-0.105649	rollback	涨停价格过滤从0.95加严到0.90
0034		7973351	normal_exit	0.4392	0.1358	1.9754	1.779058	rollback	排除近5日涨幅超20%但仍选低价股
0035		7973353	normal_exit	0.4830	0.1419	2.0436	1.871560	rollback	breadth_extreme从0.10调紧到0.09，更快退出极端市场
0036		7973355	normal_exit	0.3549	0.1172	1.7742	1.666112	rollback	添加最低价格过滤，排除股价<2元的股票
