,600000.XSHG,600009.XSHG,600010.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600018.XSHG,600019.XSHG,600025.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600031.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600109.XSHG,600111.XSHG,600115.XSHG
2022-01-03,-0.006615497920461054,-0.010203216273004346,0.0029891217932661905,0.015415004192375749,0.04763427063465092,0.01654472215314846,0.023196799327766887,-0.010119323979757107,-0.020517362119389527,0.0012466269923824592,0.002143398305191924,-0.021570254827291944,-0.003505890598080257,0.007986352034382619,0.007207867900361605,0.01008575706768545,0.0058192946027488595,-0.010140173185401115,-0.010278012532976864,-0.02397902795987752
2022-01-04,0.0356955007837019,0.00026900729238586013,-0.004497061115897039,-0.018575841629049177,0.058713158046555566,-0.02146656064445791,-0.008576958512121468,0.00831673672572121,0.012004259314885555,0.01915864110431368,0.036152170155385265,0.010123153109214246,-0.02112061599933335,-0.00513890250243563,0.006156647450277699,0.04136452083011648,-0.027956109568485942,0.024051530104504552,0.003598287390928336,0.016756610704589614
2022-01-05,-0.002039894332718639,-0.016848652602526524,0.01501745558802664,0.013088620542112423,0.019441139314794437,-0.0002660927075727062,-0.011996440466396988,-0.031175739900476833,0.016387465362788126,0.008477789648879722,-0.019315652657279185,-0.010771473465932484,-0.00933517623902881,-0.02965968863964836,-0.016353647932102675,-0.022676607136127083,-0.008249580237758734,-0.014773949966591256,-0.032540098417334976,0.04045180461138963
2022-01-06,0.025050814620584616,-0.015580388430399713,0.005448427933072201,0.008349301796425906,0.023821717095469538,-0.016372100533201574,0.021842135679648524,-0.010958106084138702,-0.026717248083372266,0.014482731186289946,0.025815168482448563,0.051758179470613695,-0.023994505301804272,0.013978393701615776,-0.00819602487587066,0.015667174210480625,-0.02940979102462501,-0.025255395513971282,-0.015517496463329677,0.0015792809133616903
2022-01-07,-0.012821625330767108,0.013181086878268394,0.020537892365158288,0.011991550824907117,0.03237575279321736,0.00831653258910686,-0.024337934206803344,0.027267530270766796,-0.012103124712119948,0.0182083699937114,0.03147468433110213,0.009133760214607984,-0.029923176263292994,-0.01836424333019583,0.026454889337702712,-0.0033824537128563275,0.0015914706988433168,0.015176488323272187,0.013926457241606469,0.005575996247709214
2022-01-10,-0.004173367424409317,-0.006253368914647146,0.01715797650582686,0.011071390621355866,-0.00514600001235579,0.02164224625986281,-0.0025806823025956755,-0.017033243486687867,-0.015179413978066892,-0.019574816726195314,-0.005448200332073744,0.024674485566723862,-0.016101903620610175,0.0037695152203620582,-0.013133786912548264,-0.005206180825428751,-0.030200824239705045,-0.004410764583130748,-0.003874107596099241,0.010805758880713907
2022-01-11,0.004465618265107411,-0.023967842499040902,0.021683964880870855,0.004206060804439907,0.003967870343549734,-0.00018364706770277874,-0.010355148944444394,0.004356046794974522,0.009511768718571649,-0.034937913826911096,-0.010775216746921914,-0.005098939408071787,0.0051234121138855615,0.023866220118542513,-0.015434816291935648,-0.00995923693635684,-0.010250682212931001,-0.016030551802090832,-0.006943729902245249,0.015416044399759424
2022-01-12,-0.02107670990728691,0.008556287903058065,-0.03403804460036671,-0.011226759928844119,-0.006589786004359721,0.033497193458281296,-0.00549604609505376,-0.04402486946901837,-0.039977778137225,0.0006805917269336198,0.012275417115798173,0.0075091171525450565,0.0033514021160198073,0.023245191950113344,-0.010791824414742633,0.017898211120536505,-0.03264029770052835,-0.018098956658761326,-0.036140827898636325,-0.0054969060133958445
2022-01-13,-0.0009252243453268508,0.0022820298445303984,0.001237667057742704,-0.01855106661623456,-0.0038048168882643136,-0.02994893337211497,0.02726457950264501,-0.00607252145796002,-0.009777722380873825,0.03177880656888166,-0.02484493067098459,-0.02251174228063938,-0.021924406497371304,-0.001357427633989638,0.008632632592751946,0.014793509362356674,0.051439906349899374,-0.04498864908401528,0.01217471178248834,-0.011142611451444625
2022-01-14,-0.01172830297777547,-0.012395442565077552,-0.018175393416159466,0.033690496692069034,0.016845946540278055,0.00046391957114749646,0.027020315049740007,-0.030250579305977514,-0.026614102626618525,-0.04355935464389376,-0.01398829080246575,0.003233970534095058,0.0020571715586466814,0.002986838221197609,-0.028221136621321637,0.01606309485228044,0.004792550364779959,0.01466108562931997,-0.03785524355180104,0.006229817175955797
2022-01-17,-0.02375530479835054,-0.007946465051027238,0.010687297972727668,0.0018218721251182634,-0.017030799595586378,0.0001254631236883657,-0.03063070630487286,0.02300534791796592,-0.004105680389925026,0.022370998885106522,-0.01053063374192086,-0.01047151976813166,-0.01528373573275693,0.017523478633861507,-0.014188623146569521,0.012891908648303536,-0.007649047953385805,-0.03951926599783239,-0.011406281355729323,-0.023582164287256967
2022-01-18,0.0006780544736467502,-0.023808154713489803,0.018519502014292335,-0.0018215172070605446,-0.0035519198951747795,0.013117842755751652,0.01927813868151725,-0.0004019750353930329,-0.015424005990985812,-0.03547939232224259,-0.013720995140703601,-0.012344244932959231,0.0021411490598459352,-0.006902937622760543,0.013758659441028562,-0.01225966542541379,-0.0011408233370588353,0.023679748863937786,0.006836504279099331,-0.0012007508337712903
